YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,3,21,12,1.33,2.89,4.37,177.65,333.45,25.29,0.75,3.8,0.82,-4.28,-1.74,0.63,69.94,4.58,61.92,5.74,10.92697361,214.51,214.53
2023,4,9,13,2.64,3.37,4.36,318.3,393.52,44,1.41,7.27,6.12,-7.75,-0.81,0,35.5,3.36,62.73,5.82,11.07926592,221.74,221.77
2023,4,15,13,2.55,3.22,4.4,306.23,375.65,40.69,1.19,5.95,9.69,-5.61,2.04,0,33.25,3.97,62.79,5.81,11.06022938,217.9,218
2023,4,18,14,2.41,2.78,3.92,283.23,320.8,36.72,1.05,5.35,8.57,-0.77,3.9,0,52.38,5.8,62.7,5.76,10.96504669,224.01,224.22
2023,3,27,14,2.49,3.02,3.77,292.9,349.2,40.22,1.07,5.42,3.12,-10.2,-3.54,0,35.81,2.75,62.14,5.77,10.98408323,221.87,221.85
2023,3,28,15,1.64,2.14,3.04,189.65,242.98,24.8,0.49,2.45,1.23,-5.81,-2.29,0,59.56,3.97,62.15,5.71,10.86986399,227.05,227.1
2023,4,9,12,3.18,3.63,4.57,384.27,423.35,53.55,1.82,9.52,6.27,-8.24,-0.98,0,33.75,3.17,62.78,5.82,11.07926592,222.5,222.6
2023,5,19,11,2.73,3.73,4.67,355.67,450.75,50.6,1.88,10,9.51,-0.53,4.49,0.01,52.06,6.16,62.44,5.77,10.98408323,224.51,224.52
2023,4,19,14,2.11,2.6,3.92,245.62,297.25,30.98,0.87,4.45,9.04,-1.24,3.9,0,49.12,5.68,62.42,5.76,10.96504669,225.49,225.57
2023,5,4,10,0.44,2.93,4.32,64.83,341.38,9.27,0.29,1.42,5.51,-0.98,2.26,1.11,65.12,5.86,62.47,5.77,10.98408323,223.68,223.73
2023,5,11,13,3.21,3.67,4.49,386.73,429.83,54.66,1.9,10,7.6,-7.97,-0.19,0,31.5,3.3,62.46,5.81,11.06022938,214.54,214.44
2023,5,20,12,2.36,3.53,4.72,299.45,419.83,40.7,1.44,7.73,9.06,-2.66,3.2,0,44.56,5.13,62.36,5.79,11.02215631,223.91,223.82
2023,5,26,15,1.46,2.45,3.34,185.7,297.02,26.41,0.75,3.95,7.01,1,4.01,0.2,67.25,6.77,62.37,5.73,10.90793707,218.81,218.86
2023,4,3,15,1.17,2.2,3.09,143.88,260.33,19.88,0.44,2.17,2.63,-3.03,-0.2,0,67.19,5,61.97,5.7,10.85082745,229.45,229.43
2023,5,7,15,1.52,2.36,3.27,186.45,278.4,25.39,0.69,3.58,6.39,-1,2.69,0,60.31,5.8,62.23,5.75,10.94601015,221.97,222.02
2023,3,14,13,1.69,2.67,4.1,200.9,302.3,25.2,0.76,3.9,2.63,-5.24,-1.31,0.01,57.25,4.21,62.25,5.75,10.94601015,226.16,226.19
2023,5,27,13,1.86,3.47,4.5,248.75,420.48,35.44,1.3,6.67,7.76,0.19,3.98,0.36,60.38,6.41,62.33,5.76,10.96504669,222.03,222.01
2023,4,26,13,2.55,3.44,4.45,309.25,403.52,42.69,1.4,7,5.69,-2.36,1.66,0.04,56.88,5.19,62.37,5.75,10.94601015,221.7,221.75
2023,5,9,16,1.39,1.74,2.39,164.85,207.4,21.88,0.39,1.9,5.12,-3.88,0.62,0.01,52.5,4.64,62.28,5.66,10.77468129,234.38,234.59
2023,5,21,13,1.71,3.2,4.5,223.08,378.05,28.39,1,5.02,8.8,-0.48,4.15,0.18,53.19,6.04,62.48,5.73,10.90793707,222.57,222.45
2023,5,27,11,2.22,3.71,4.67,297.73,448.88,43.02,1.66,8.8,8.22,-1.48,3.37,0.05,51.94,5.68,62.36,5.76,10.96504669,220.43,220.43
2023,3,21,14,0.64,2.05,3.71,91.33,226.48,11.99,0.28,1.45,-0.12,-4.43,-2.27,0.72,74.5,4.58,61.83,5.67,10.79371783,216.03,216.07
2023,3,26,16,1.17,1.46,2.09,137.12,171.08,17.3,0.24,1.2,1.21,-6,-2.4,0,59,3.97,62.18,5.6,10.66046206,223.93,223.99
2023,4,10,14,2.49,3.04,3.87,298.3,355.02,41.66,1.16,5.92,6.05,-6.23,-0.09,0,40.94,3.85,62.47,5.7,10.85082745,229.39,229.36
2023,5,18,13,1.76,3.23,4.5,227.27,387.12,30.66,1.04,5.33,10.3,1.69,5.99,0.15,57.12,7.14,62.54,5.66,10.77468129,230.77,230.82
